"Sample ID"	Current_Natural_Log_Ratio	BodySite	BodySite
L1S105	null	gut	gut
L1S140	null	gut	gut
L1S208	6.000589454884983	gut	gut
L1S257	7.476755466799199	gut	gut
L1S281	null	gut	gut
L1S57	6.81783057145415	gut	gut
L1S76	null	gut	gut
L1S8	5.028475212224587	gut	gut
L2S155	-3.3908880120032943	"left palm"	"left palm"
L2S175	-4.542230386214217	"left palm"	"left palm"
L2S204	-1.4563619237366074	"left palm"	"left palm"
L2S222	-0.891749622958038	"left palm"	"left palm"
L2S240	-5.392111245834398	"left palm"	"left palm"
L2S309	-1.8271613962789712	"left palm"	"left palm"
L2S357	-3.6995367485879247	"left palm"	"left palm"
L2S382	null	"left palm"	"left palm"
L3S242	5.070475294452272	"right palm"	"right palm"
L3S294	null	"right palm"	"right palm"
L3S313	-3.5115454388310208	"right palm"	"right palm"
L3S341	-1.8170772772123445	"right palm"	"right palm"
L3S360	-1.0986122886681096	"right palm"	"right palm"
L3S378	5.590986980510857	"right palm"	"right palm"
L4S112	-3.4072396961181175	"right palm"	"right palm"
L4S137	-6.0553778728516345	"right palm"	"right palm"
L4S63	-2.9818431613933236	"right palm"	"right palm"
L5S104	-3.788724789083652	tongue	tongue
L5S155	-3.9170105469391854	tongue	tongue
L5S174	null	tongue	tongue
L5S203	-4.562262684976814	tongue	tongue
L5S222	null	tongue	tongue
L5S240	-3.0204248861443626	tongue	tongue
L6S20	-3.8430301339411943	tongue	tongue
L6S68	-4.979488565099419	tongue	tongue
L6S93	-4.338016693677439	tongue	tongue
