	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L1S105	0.0	3.459214907085057	4.207618637231104	4.898466258893016	4.463725459375121	1.4288582317881873	1.670635639993677	0.9324650539659208	3.9953736090295324	3.9599596351454585	2.897710838517222	2.7591502472390874	4.741090895688903	3.206689327360665	3.696019994367361	3.6823272099693996	1.7267446023163704	3.2163565749454706	3.7240174526317262	2.844054691191678	2.9281441402479067	3.352256586211866	3.8550177858658876	5.087060617146229	3.802568375661544	4.253971998421651	3.6353497911273065	3.433403695641063	3.280793098828082	3.691138889660884	3.528105969387673	3.8098657289817814	3.6840949789330026	3.430542683380201
L1S140	3.459214907085057	0.0	1.4279191203789896	1.7612578463685178	1.2736301357635094	2.7844981641637063	2.237563973053298	3.4918724420334764	3.324880409588505	3.4296970326513074	3.6798727640438993	2.980926678411949	3.576175234973818	2.952822545229313	3.2498119513616626	2.9867455012006183	2.5599264942862687	2.721052791158361	3.2871823799866102	2.8821921943621627	3.220866864406081	1.1529309017365679	3.9201347692943767	4.528997654396075	3.925410530019485	3.914154209378133	3.5182377944925705	2.9207265636778836	3.475754563457713	2.6987764791369453	2.5731580016491202	3.1921200664669995	3.2418621074497707	3.600348691362196
L1S208	4.207618637231104	1.4279191203789896	0.0	1.4644248965284925	1.7592595046555777	3.828492675075116	3.369515729806294	4.12827144995683	3.090287018813484	3.4541417407929935	3.7942296042293084	3.1933260235350196	4.152175713446009	3.0780394028584115	3.3484738289776352	3.5744220387202343	3.136474057551188	2.7488615688274773	3.3140684844309214	3.0596949405765317	3.3937704978757126	1.1532076403471592	4.235142225774147	5.05192323329527	3.974440574361413	4.0851055497344735	3.9171547822986383	3.6927442520916993	4.1411650619637195	3.4802627092988914	3.3763513992530676	4.0161403961747295	4.073959328763458	4.4114069756524055
L1S257	4.898466258893016	1.7612578463685178	1.4644248965284925	0.0	0.8837611817250189	4.266007778655898	3.6920400931667814	4.978179566878688	3.2523062409921972	3.670000199474355	4.0676088599142375	3.4769156714548535	3.64730729169789	3.343263842469556	3.6060254711895543	3.8879848070095373	3.8687941407427098	3.0020610530254417	3.6025917004431394	3.526468440466685	3.5997277273406376	1.8548485599611655	4.47108750048033	5.325207107297407	3.9842653330680364	3.727752455480807	3.7929328196256478	3.4597924360098906	3.928972429796973	3.027597663177602	3.2443761355723	3.5728310794820612	3.6721909546973066	4.090334124178183
L1S281	4.463725459375121	1.2736301357635094	1.7592595046555777	0.8837611817250189	0.0	3.7151681523949818	3.09060103902551	4.572270559677039	3.342801512384364	3.564019453672339	4.016895010347508	3.345380819364443	3.2973455935967597	3.214542614316822	3.473945612551882	3.4430274359231485	3.534788429967444	2.954492314293218	3.508710031423527	3.3503562399007447	3.5105224107637008	1.81859466284754	4.173053901538022	4.8755959218994365	3.9658803692212614	3.7027239214831145	3.5739093791171324	3.018736075725026	3.5679890079024013	2.6080562011070905	2.741217938969669	3.0806214504345837	3.173521514595767	3.645264571689832
L1S57	1.4288582317881873	2.7844981641637063	3.828492675075116	4.266007778655898	3.7151681523949818	0.0	0.8039410401305611	1.876717223115659	4.2670509303413615	4.148484553691803	3.272924327684044	2.8726398376356843	4.008618340883352	3.379785600603973	3.7515110989511893	3.4194805322622495	1.582464623164832	3.271929845369895	3.8414510041366934	3.116295051438013	3.0381889479865087	2.8523009644462336	4.287467990200227	4.952611969323229	4.173844798936566	4.034678759707126	3.348002409601957	2.6856217498651502	2.851039850238375	2.7657025928854098	2.810171771988334	3.0952832261406553	3.0398423066034086	2.833905056635039
L1S76	1.670635639993677	2.237563973053298	3.369515729806294	3.6920400931667814	3.09060103902551	0.8039410401305611	0.0	2.0580096536072814	3.6975583439015574	3.612133214917818	3.015615638877819	2.522327773766981	3.6154103042197527	2.87961071819962	3.308495497722239	3.005621313603732	1.6432634845965144	2.803833927122481	3.3898998292698606	2.6708519589140383	2.7234004750156036	2.4661303522075677	3.6935143276619216	4.571832307126326	3.6740792808285487	3.664714951136217	3.02516563894303	2.355384731695095	2.545267672673761	2.4144910235746275	2.3870529122007498	2.657335557329313	2.5899780564583175	2.5428752203713008
L1S8	0.9324650539659208	3.4918724420334764	4.12827144995683	4.978179566878688	4.572270559677039	1.876717223115659	2.0580096536072814	0.0	4.002671116536747	3.7066556440971588	3.220563311622429	2.842184808747544	4.718098953193043	3.1181895342817803	3.413795668703138	3.2199160294869333	1.50853997593884	3.2022829234276484	3.4467616737731235	2.6462618695558384	3.1001573149424946	3.3360622219518428	3.6526795373764767	4.498756839195901	4.151748959386839	4.523316814596834	3.7010956893023903	3.5592395159644084	3.5663286549517026	3.9727279395657926	3.457570571665036	3.997000354732722	3.8837061221550715	3.793721714015606
L2S155	3.9953736090295324	3.324880409588505	3.090287018813484	3.2523062409921972	3.342801512384364	4.2670509303413615	3.6975583439015574	4.002671116536747	0.0	1.5697350050539642	2.108108668193993	1.8513164395189945	3.845716098489843	1.2828496964565819	2.002527724704981	3.4925014641227885	3.462513581446274	1.3253187856189748	1.814956268212424	1.6536240606441963	1.936960340707471	2.9102291448903106	2.2186707813913595	4.812709989196201	1.629781035558555	2.5380546289976884	2.7328693784838975	3.4056661988477157	3.1128862019757784	3.5690283058225223	3.375550702819908	3.4395080590469163	3.3430696889225033	3.5683632214126066
L2S175	3.9599596351454585	3.4296970326513074	3.4541417407929935	3.670000199474355	3.564019453672339	4.148484553691803	3.612133214917818	3.7066556440971588	1.5697350050539642	0.0	2.7961634731497407	1.9446552394409202	3.081339522793626	1.0177388313842306	0.8059326891655014	2.254767334128355	3.14652338616874	1.479967333042469	0.6639372875420884	1.1883710618065162	2.2218117289205157	3.105176250190862	1.5761658769566125	3.3804707246257375	2.8610230364439677	2.8528195922337534	2.2765911591562045	2.924623164556464	2.899888690618646	3.451942906741797	2.614471180076472	2.987355277332106	2.894488984360907	3.36617705865108
